TIME,'AR','XXPA','BALANCES','XXAHL','XXINV','BUDGET','XLA','XLACA','AHL','XXONT','PA','ZX','XXAR','CST','CSI','JOURNAL','INV','XXCST','WIP'
2013-07-01 00:00:00,264,,,,,,,,,,,,,,,,,5,
2013-08-01 00:00:00,2384,,,,2,,,,,,,,17,,,,,25,
2013-09-01 00:00:00,675,,,,,,29,3,,,,,34,,,,102,6,
2013-10-01 00:00:00,1056,,,,,,174,21,,,,,60,,,,,,74
2013-11-01 00:00:00,1843,,,,,,116,,,,,,8,,,,,,
2013-12-01 00:00:00,264,,,,,,435,75,,,,,7,,,,,2,
2014-01-01 00:00:00,941,8,,,,,116,18,,,,,56,,,,,,
2014-02-01 00:00:00,6227,,,,,,,16,,,,,,,,,,24,
2014-03-01 00:00:00,,16,,,,,,3,,,,,42,,,,,,
2014-04-01 00:00:00,528,,,,,,,3,,,,,3,,,,,,
2014-05-01 00:00:00,,,,,,,,,,,,,18,,,,98,,
2014-06-01 00:00:00,,,,,,,58,57,,,,,,,,,,,
2014-07-01 00:00:00,4201,,,,,,,9,,,169,,36,,,,,,
2014-08-01 00:00:00,264,,,,,,,6,20,,31,,,,,,,,
2014-09-01 00:00:00,1236,,,,,,,,,,,,,,,,,27,
2014-10-01 00:00:00,559,,,,,,,,,,,,,,,,,,
2014-11-01 00:00:00,529,,,,,,,,,,169,,,,,,49,28,74
2014-12-01 00:00:00,,,,,,,,,,,15,,185,,,,,,
2015-01-01 00:00:00,,,,,,,,,,36,,,41,,,,51,22,
2015-02-01 00:00:00,1746,,,,,,,,,,,,87,,,,,,
2015-03-01 00:00:00,,,,,,,,,,,,,26,,,,,,
2015-04-01 00:00:00,,,,,,,,,,,,,366,,,,,,
2015-05-01 00:00:00,,,,,,,,,,,,,14,,,,,,
2015-06-01 00:00:00,,,,,,,,,,6,,,,,,,,,
2015-07-01 00:00:00,,,,,,,,,,10,,,,,,,,,
2015-08-01 00:00:00,,,,,,,,,,,,,149,,,,,,
2015-09-01 00:00:00,264,,,,126,,,,,10,,,97,,,,,39,
2015-10-01 00:00:00,,,,,63,,,,,,,72,10,,,,,,
2015-11-01 00:00:00,,,,,9,,,,,,,,,,,,,,
2015-12-01 00:00:00,528,8,80,15,11,64,41,3,20,4,,144,564,60,78,112,47,85,95
2016-01-01 00:00:00,,,,,,,,,,,,,,,,,,2,
2016-10-01 00:00:00,,8,40,,15,130,43,6,,4,15,,195,1178,74,57,153,84,180
2016-11-01 00:00:00,,8,40,,13,65,43,3,,6,312,,147,64,74,57,153,87,85
