TIME,SELECT_SQL_STMTS,UID_SQL_STMTS
2017-12-12 00:10:02,17522,4649
2017-12-12 00:20:02,15283,240
2017-12-12 00:30:02,15835,234
2017-12-12 00:40:01,21446,4117
2017-12-12 00:50:01,14801,228
2017-12-12 01:00:02,13598,198
2017-12-12 01:10:02,18152,2804
2017-12-12 01:20:02,14798,204
2017-12-12 01:30:02,14311,212
2017-12-12 01:40:02,18482,2673
2017-12-12 01:50:02,14059,212
2017-12-12 02:00:02,14288,227
2017-12-12 02:10:01,20334,4470
2017-12-12 02:20:01,14582,207
2017-12-12 02:30:02,21733,235
2017-12-12 02:40:02,16672,2705
2017-12-12 02:50:01,13971,214
2017-12-12 03:00:01,13729,208
2017-12-12 03:10:02,114276,100875
2017-12-12 03:20:02,51878,37439
2017-12-12 03:30:02,13979,214
2017-12-12 03:40:02,15950,2679
2017-12-12 03:50:01,13478,202
2017-12-12 04:00:01,13742,208
2017-12-12 04:10:02,16189,2687
2017-12-12 04:20:03,14205,213
2017-12-12 04:30:01,15391,1210
2017-12-12 04:40:01,16415,2677
2017-12-12 04:50:02,14955,855
2017-12-12 05:00:01,13955,225
2017-12-12 05:10:01,16192,2689
2017-12-12 05:20:01,13488,195
2017-12-12 05:30:01,15261,907
2017-12-12 05:40:02,15932,2667
2017-12-12 05:50:02,13959,218
2017-12-12 06:00:02,13749,215
2017-12-12 06:10:01,16675,2705
2017-12-12 06:20:01,13955,210
2017-12-12 06:30:01,14474,233
2017-12-12 06:40:02,36936,22035
2017-12-12 06:50:02,14704,238
2017-12-12 07:00:02,14687,238
2017-12-12 07:10:02,18606,2744
2017-12-12 07:20:02,16772,253
2017-12-12 07:30:02,15378,251
2017-12-12 07:40:02,18929,282
2017-12-12 07:50:02,22814,533
2017-12-12 08:00:01,45630,758
2017-12-12 08:10:02,63978,5723
2017-12-12 08:20:02,43640,302
2017-12-12 08:30:01,79679,1642
2017-12-12 08:40:02,106223,4089
2017-12-12 08:50:02,148941,519
2017-12-12 09:00:02,192606,4732
2017-12-12 09:10:02,444504,12385
2017-12-12 09:20:02,695682,5781
2017-12-12 09:30:02,807974,10090
2017-12-12 09:40:02,932337,4139
2017-12-12 09:50:02,1119342,6915
2017-12-12 10:00:02,623143,2393
2017-12-12 10:10:01,650039,9021
2017-12-12 10:20:01,1363954,11094
2017-12-12 10:30:02,491526,9553
2017-12-12 10:40:02,369790,8365
2017-12-12 10:50:02,286961,8581
2017-12-12 11:00:02,489337,8233
2017-12-12 11:10:02,285472,20216
2017-12-12 11:20:02,300810,14565
2017-12-12 11:30:01,364911,66250
2017-12-12 11:40:01,340379,33255
2017-12-12 11:50:01,318377,50388
2017-12-12 12:00:01,308687,49833
2017-12-12 12:10:02,235167,59857
2017-12-12 12:20:02,147081,16449
2017-12-12 12:30:02,166366,71855
2017-12-12 12:40:02,150519,42388
2017-12-12 12:50:01,165539,64092
2017-12-12 13:00:02,149140,25979
2017-12-12 13:10:02,188487,10196
2017-12-12 13:20:01,168157,7649
2017-12-12 13:30:01,224991,44338
2017-12-12 13:40:01,1101430,51754
2017-12-12 13:50:01,427066,60147
2017-12-12 14:00:01,359302,28749
2017-12-12 14:10:01,303039,40444
2017-12-12 14:20:01,347095,56463
2017-12-12 14:30:01,361569,59632
2017-12-12 14:40:02,416476,49458
2017-12-12 14:50:02,342125,40422
2017-12-12 15:00:02,316731,57394
2017-12-12 15:10:02,379379,58875
2017-12-12 15:20:02,313277,27192
2017-12-12 15:30:02,317680,46724
2017-12-12 15:40:02,328766,57363
2017-12-12 15:50:02,324260,69033
2017-12-12 16:00:02,355487,16585
2017-12-12 16:10:02,397746,44435
2017-12-12 16:20:02,413970,56850
2017-12-12 16:30:01,357251,69360
2017-12-12 16:40:01,321139,42426
2017-12-12 16:50:01,308177,36430
2017-12-12 17:00:01,305700,17100
2017-12-12 17:10:01,405988,17270
2017-12-12 17:20:01,263772,13499
2017-12-12 17:30:01,260205,12324
2017-12-12 17:40:01,239709,22803
2017-12-12 17:50:01,216488,4404
2017-12-12 18:00:02,542449,6706
2017-12-12 18:10:02,209461,24119
2017-12-12 18:20:02,181643,2805
2017-12-12 18:30:02,158624,5718
2017-12-12 18:40:02,139319,9384
2017-12-12 18:50:02,92537,4877
2017-12-12 19:00:02,234644,12040
2017-12-12 19:10:02,1675689,39923
2017-12-12 19:20:02,4352984,12719
2017-12-12 19:30:02,1148497,813
2017-12-12 19:40:02,36671,5095
2017-12-12 19:50:02,17273,645
2017-12-12 20:00:02,22102,631
2017-12-12 20:10:02,49321,5224
2017-12-12 20:20:02,30595,639
2017-12-12 20:30:02,26664,616
2017-12-12 20:40:01,26489,5223
2017-12-12 20:50:01,18696,640
2017-12-12 21:00:02,21777,654
2017-12-12 21:10:02,27510,5354
2017-12-12 21:20:02,22140,762
2017-12-12 21:30:02,17436,619
2017-12-12 21:40:02,38987,10114
2017-12-12 21:50:01,17868,629
2017-12-12 22:00:01,18405,692
2017-12-12 22:10:02,22006,5245
2017-12-12 22:20:02,18586,674
2017-12-12 22:30:02,20594,682
2017-12-12 22:40:02,20995,5219
2017-12-12 22:50:02,18078,634
2017-12-12 23:00:02,17993,682
2017-12-12 23:10:01,21768,5217
2017-12-12 23:20:02,15877,605
2017-12-12 23:30:02,16602,601
2017-12-12 23:40:02,21778,10249
2017-12-12 23:50:02,15129,564
2017-12-13 00:00:01,17806,663
2017-12-13 00:10:02,21311,6798
2017-12-13 00:20:02,16804,263
2017-12-13 00:30:02,16041,250
2017-12-13 00:40:02,27342,6893
2017-12-13 00:50:02,15026,218
2017-12-13 01:00:02,16472,254
2017-12-13 01:10:02,20745,4893
2017-12-13 01:20:02,15865,212
2017-12-13 01:30:02,16036,236
2017-12-13 01:40:02,24572,4820
2017-12-13 01:50:02,15720,236
2017-12-13 02:00:02,15489,230
2017-12-13 02:10:02,23546,6382
2017-12-13 02:20:01,16040,228
2017-12-13 02:30:02,14723,213
2017-12-13 02:40:02,28132,4861
2017-12-13 02:50:02,14930,218
2017-12-13 03:00:02,14235,200
2017-12-13 03:10:01,118335,97893
2017-12-13 03:20:01,63273,47117
2017-12-13 03:30:02,14465,206
2017-12-13 03:40:02,19506,4818
2017-12-13 03:50:02,14447,206
2017-12-13 04:00:02,14471,206
2017-12-13 04:10:02,19513,4819
2017-12-13 04:20:02,14679,203
2017-12-13 04:30:02,15728,876
2017-12-13 04:40:01,19256,4796
2017-12-13 04:50:01,17318,1629
2017-12-13 05:00:01,14458,207
2017-12-13 05:10:01,18800,4810
2017-12-13 05:20:01,14436,197
2017-12-13 05:30:01,15418,815
2017-12-13 05:40:01,19740,4809
2017-12-13 05:50:01,14202,200
2017-12-13 06:00:01,15129,225
2017-12-13 06:10:01,19038,4812
2017-12-13 06:20:01,14668,203
2017-12-13 06:30:01,14482,212
2017-12-13 06:40:01,38321,23886
2017-12-13 06:50:01,16149,252
2017-12-13 07:00:01,14958,222
2017-12-13 07:10:01,31242,4818
2017-12-13 07:20:01,15074,213
2017-12-13 07:30:01,22276,224
2017-12-13 07:40:01,16100,264
2017-12-13 07:50:01,22732,4477
2017-12-13 08:00:02,36118,2712
2017-12-13 08:10:02,47283,2140
2017-12-13 08:20:02,48535,2037
2017-12-13 08:30:01,62706,1468
2017-12-13 08:40:02,114531,496
2017-12-13 08:50:01,222712,2788
2017-12-13 09:00:02,253528,8788
2017-12-13 09:10:02,432619,4523
2017-12-13 09:20:01,666314,6259
2017-12-13 09:30:01,771491,10284
2017-12-13 09:40:01,993238,5820
2017-12-13 09:50:02,1004873,2333
2017-12-13 10:00:02,836997,3205
2017-12-13 10:10:01,1016672,7064
2017-12-13 10:20:01,496335,11054
2017-12-13 10:30:01,395563,9491
2017-12-13 10:40:01,348264,11735
2017-12-13 10:50:02,305336,7730
2017-12-13 11:00:01,249280,10910
2017-12-13 11:10:01,315089,17375
2017-12-13 11:20:01,287173,14611
2017-12-13 11:30:01,456231,23418
2017-12-13 11:40:02,362017,16488
2017-12-13 11:50:02,440184,22741
2017-12-13 12:00:02,300142,7558
2017-12-13 12:10:02,185642,5131
2017-12-13 12:20:02,9744310,6858
2017-12-13 12:30:02,27246087,5261
2017-12-13 12:40:02,15380949,6917
2017-12-13 12:50:02,29059890,1141
2017-12-13 13:00:02,20367041,1458
2017-12-13 13:10:02,17753035,7995
2017-12-13 13:20:01,147395,1922
2017-12-13 13:30:01,244212,13581
2017-12-13 13:40:01,257933,15513
2017-12-13 13:50:01,296524,14459
2017-12-13 14:00:01,287689,12748
2017-12-13 14:10:01,305506,8382
2017-12-13 14:20:01,300552,14976
2017-12-13 14:30:01,251541,8392
2017-12-13 14:40:01,292849,21223
2017-12-13 14:50:01,320146,12173
2017-12-13 15:00:01,268388,8647
2017-12-13 15:10:01,272346,14214
2017-12-13 15:20:01,274735,18359
2017-12-13 15:30:01,347966,11853
2017-12-13 15:40:01,285868,8194
2017-12-13 15:50:01,246940,14044
2017-12-13 16:00:01,298321,7311
2017-12-13 16:10:02,359301,11640
2017-12-13 16:20:02,298964,9285
2017-12-13 16:30:02,324280,12362
2017-12-13 16:40:02,375681,9188
2017-12-13 16:50:02,466674,18198
2017-12-13 17:00:01,577978,23541
2017-12-13 17:10:02,638752,15422
2017-12-13 17:20:02,449264,14542
2017-12-13 17:30:01,361600,19992
2017-12-13 17:40:01,296021,19719
2017-12-13 17:50:02,254995,18876
2017-12-13 18:00:02,196165,10135
2017-12-13 18:10:02,246431,18543
2017-12-13 18:20:02,156359,2935
2017-12-13 18:30:02,172723,2236
2017-12-13 18:40:02,122224,2604
2017-12-13 18:50:02,106923,4238
2017-12-13 19:00:02,65001,1220
2017-12-13 19:10:02,173491,32593
2017-12-13 19:20:01,36555,15588
2017-12-13 19:30:01,51430,4218
2017-12-13 19:40:01,160678,5032
2017-12-13 19:50:02,42997,10956
2017-12-13 20:00:02,27093,813
2017-12-13 20:10:02,36796,7748
2017-12-13 20:20:01,24122,696
2017-12-13 20:30:02,50978,22818
2017-12-13 20:40:02,25568,1621
2017-12-13 20:50:02,94239,67272
2017-12-13 21:00:02,43483,7683
2017-12-13 21:10:02,61678,24904
2017-12-13 21:20:02,69402,5519
2017-12-13 21:30:01,86795,65769
2017-12-13 21:40:02,72770,41866
2017-12-13 21:50:01,132172,68782
2017-12-13 22:00:01,66560,32497
2017-12-13 22:10:01,18575,1545
2017-12-13 22:20:02,18262,604
2017-12-13 22:30:02,18500,592
2017-12-13 22:40:02,23963,1519
2017-12-13 22:50:02,16531,546
2017-12-13 23:00:01,19557,651
2017-12-13 23:10:02,18621,1553
2017-12-13 23:20:02,18585,610
2017-12-13 23:30:02,17267,565
2017-12-13 23:40:02,19302,7063
2017-12-13 23:50:02,17576,577
2017-12-14 00:00:02,17984,616
2017-12-14 00:10:02,18244,3150
2017-12-14 00:20:01,17547,254
2017-12-14 00:30:02,16811,246
2017-12-14 00:40:02,19885,3357
2017-12-14 00:50:02,22473,434
2017-12-14 01:00:02,16507,232
2017-12-14 01:10:02,16978,1221
2017-12-14 01:20:02,16429,202
2017-12-14 01:30:02,16287,221
2017-12-14 01:40:02,20196,1154
2017-12-14 01:50:02,16501,232
2017-12-14 02:00:02,16453,233
2017-12-14 02:10:01,21056,2838
2017-12-14 02:20:01,16320,214
2017-12-14 02:30:01,15715,214
2017-12-14 02:40:01,24323,1204
2017-12-14 02:50:02,15723,218
2017-12-14 03:00:02,15243,206
2017-12-14 03:10:01,116961,101763
2017-12-14 03:20:02,63799,48358
2017-12-14 03:30:02,15241,206
2017-12-14 03:40:02,16478,1174
2017-12-14 03:50:02,15217,208
2017-12-14 04:00:02,15483,214
2017-12-14 04:10:01,16470,1178
2017-12-14 04:20:01,15700,212
2017-12-14 04:30:01,16553,1114
2017-12-14 04:40:01,16692,1168
2017-12-14 04:50:01,16540,731
2017-12-14 05:00:01,15492,217
2017-12-14 05:10:02,16241,1182
2017-12-14 05:20:01,15204,203
2017-12-14 05:30:01,16199,816
2017-12-14 05:40:02,16451,1164
2017-12-14 05:50:01,15951,230
2017-12-14 06:00:01,15696,224
2017-12-14 06:10:02,16963,1199
2017-12-14 06:20:02,15464,209
2017-12-14 06:30:02,15253,215
2017-12-14 06:40:02,36016,20061
2017-12-14 06:50:02,15933,229
2017-12-14 07:00:02,16687,248
2017-12-14 07:10:01,29723,1212
2017-12-14 07:20:01,18343,275
2017-12-14 07:30:01,17873,242
2017-12-14 07:40:02,17186,276
2017-12-14 07:50:02,16824,248
2017-12-14 08:00:02,28724,258
2017-12-14 08:10:02,48499,4738
2017-12-14 08:20:02,46039,577
2017-12-14 08:30:02,73254,3438
2017-12-14 08:40:02,162530,3121
2017-12-14 08:50:02,135427,2049
2017-12-14 09:00:03,273336,3589
2017-12-14 09:10:01,422600,2986
2017-12-14 09:20:01,542402,3710
2017-12-14 09:30:02,933422,7907
2017-12-14 09:40:02,1044321,11398
2017-12-14 09:50:02,989901,7367
2017-12-14 10:00:02,565581,5244
2017-12-14 10:10:02,653423,5548
2017-12-14 10:20:02,385557,11962
2017-12-14 10:30:02,316291,9745
2017-12-14 10:40:02,411563,13356
2017-12-14 10:50:01,497298,27570
2017-12-14 11:00:02,395316,49509
2017-12-14 11:10:02,378634,23454
2017-12-14 11:20:02,346271,10318
2017-12-14 11:30:02,380024,8525
2017-12-14 11:40:02,371112,17009
2017-12-14 11:50:01,350164,8258
2017-12-14 12:00:01,277203,10833
2017-12-14 12:10:01,195533,11949
2017-12-14 12:20:02,173265,3974
2017-12-14 12:30:02,114589,7143
2017-12-14 12:40:02,117706,3167
2017-12-14 12:50:02,138156,1209
2017-12-14 13:00:02,141277,1419
2017-12-14 13:10:01,158494,5593
2017-12-14 13:20:02,173113,5331
2017-12-14 13:30:02,228418,10624
2017-12-14 13:40:02,282354,13331
2017-12-14 13:50:02,275517,11086
2017-12-14 14:00:01,339017,8757
2017-12-14 14:10:02,292784,8629
2017-12-14 14:20:01,303837,21001
2017-12-14 14:30:01,268235,12014
2017-12-14 14:40:01,330459,11908
2017-12-14 14:50:01,314486,17890
2017-12-14 15:00:02,301765,8482
2017-12-14 15:10:02,330343,8663
2017-12-14 15:20:02,329192,8197
2017-12-14 15:30:02,278478,8591
2017-12-14 15:40:02,453294,14696
2017-12-14 15:50:02,258662,7289
2017-12-14 16:00:02,255807,15067
2017-12-14 16:10:02,331297,15425
2017-12-14 16:20:02,275703,12476
2017-12-14 16:30:02,284549,8475
2017-12-14 16:40:02,300896,10105
2017-12-14 16:50:02,291616,11897
2017-12-14 17:00:02,303090,8528
