TIME,APPLICATION,SHAREDSORT,LOCKLIST,PACKAGECACHE,PRIVATE
14:37:34,4992,674560,136000,1920,77696
14:37:36,4992,732928,136000,1920,77696
14:37:38,4992,790272,136000,1920,77696
14:37:40,4736,1009024,136000,1920,77696
14:37:42,4736,1199488,136000,1920,77696
14:37:44,4480,491264,136000,1920,77696
14:37:46,4480,548608,136000,1920,77696
14:37:48,4480,604928,136000,1920,77696
14:37:50,4480,663296,136000,1920,77696
14:37:52,4480,721664,136000,1920,77696
14:37:54,4480,779008,136000,1920,77696
14:37:56,4480,783104,136000,1920,77696
14:37:58,4480,783104,136000,1920,77696
14:38:00,4480,783104,136000,1920,77696
14:38:02,4480,783104,136000,1920,77696
14:38:04,4480,783104,136000,1920,77696
14:38:06,4480,783104,136000,1920,77696
14:38:08,4480,783104,136000,1920,77696
14:38:10,4288,373952,136000,1920,78208
14:38:12,4288,373952,136000,1920,78208
14:38:14,4288,373952,136000,1920,78208
14:38:16,4288,373952,136000,1920,78208
14:38:18,4288,373952,136000,1920,78208
14:38:20,4288,373952,136000,1920,78208
14:38:22,4288,373952,136000,1920,78208
14:38:24,4288,373952,136000,1920,78208
14:38:26,4288,373952,136000,1920,78208
14:38:28,4288,373952,136000,1920,78208
14:38:30,4288,373952,136000,1920,78208
14:38:32,3392,3328,136000,1920,78208
14:38:34,3392,2304,136000,1792,78208
14:38:36,3392,2304,136000,1792,78208
14:38:38,3392,2560,136000,1792,78208
14:38:40,3392,2304,136000,1792,78208
14:38:42,3392,2304,136000,1792,78208
14:38:44,3392,2304,136000,1792,78208
14:38:46,3392,2304,136000,1792,78464
14:38:48,3392,2560,136000,1792,78208
14:38:50,3392,2304,136000,1792,78208
14:38:52,3392,2560,136000,1792,78208
14:38:54,3392,2304,136000,1792,78208
14:38:56,3392,2304,136000,1792,78208
14:38:58,3392,2560,136000,1792,78208
14:39:00,3392,2304,136000,1792,78208
14:39:02,3392,2560,136000,1792,78208
14:39:04,3392,2304,136000,1792,78208
14:39:06,3392,2304,136000,1792,78208
14:39:08,3392,2304,136000,1792,78272
14:39:10,3392,2304,136000,1792,78720
14:39:12,3392,2304,136000,1792,78720
14:39:14,3392,2560,136000,1792,78720
14:39:16,3392,2304,136000,1792,78720
14:39:18,3392,2304,136000,1792,78720
14:39:20,3392,2304,136000,1792,78720
14:39:22,3392,2304,136000,1792,78720
14:39:24,3392,2560,136000,1792,78720
14:39:26,3392,2304,136000,1792,78720
14:39:28,3392,2304,136000,1792,78720
14:39:30,3392,2560,136000,1792,78720
14:39:32,3392,2304,136000,1792,78720
14:39:34,3392,2560,136000,1792,78720
14:39:36,3392,2304,136000,1792,78720
14:39:38,3392,2304,136000,1792,78720
14:39:40,3520,2304,136000,1792,78528
14:39:43,3392,2304,136000,1920,78528
14:39:45,3392,2560,136000,1920,78528
14:39:47,3392,2304,136000,1920,78528
14:39:49,3392,2560,136000,1920,78528
14:39:51,3392,2304,136000,1920,78528
14:39:53,3392,2304,136000,1920,78528
14:39:55,3392,2304,136000,1920,78784
14:39:57,3392,2304,136000,1920,78528
14:39:59,3392,2304,136000,1920,78528
14:40:01,3392,2304,136000,1920,78528
14:40:03,3392,2304,136000,1920,78528
14:40:05,3392,2304,136000,1920,78528
14:40:07,3392,2304,136000,1920,78528
14:40:09,3392,2304,136000,1856,78592
14:40:11,3392,2304,136000,1856,79040
14:40:13,3392,2304,136000,1856,79040
14:40:15,3392,2304,136000,1856,79040
14:40:17,3392,2304,136000,1856,79040
14:40:19,3392,2304,136000,1856,79040
14:40:21,3392,2304,136000,1856,79040
14:40:23,3392,2304,136000,1856,79040
14:40:25,3392,2304,136000,1856,79040
14:40:27,3392,2304,136000,1856,79040
14:40:29,3392,2304,136000,1856,79040
14:40:31,3392,2304,136000,1856,79040
14:40:33,3392,2304,136000,1856,79040
14:40:35,3392,2304,136000,1856,78528
14:40:37,3392,2304,136000,1856,78528
14:40:39,3392,2304,136000,1856,78528
14:40:41,3392,2304,136000,1856,78528
14:40:43,3392,2304,136000,1856,78528
14:40:45,3392,2304,136000,1856,78528
14:40:47,3392,2304,136000,1856,78528
14:40:49,3392,2304,136000,1856,78528
14:40:51,3392,2304,136000,1856,78528
14:40:53,3392,2304,136000,1856,78528
14:40:55,3392,2304,136000,1856,78528
14:40:57,3392,2304,136000,1856,78528
14:40:59,3392,2304,136000,1856,78528
14:41:01,3392,2304,136000,1856,78528
14:41:03,3392,2304,136000,1856,78528
14:41:05,3392,2304,136000,1856,78528
14:41:07,3392,2304,136000,1856,78528
14:41:09,3392,2304,136000,1856,78272
14:41:11,3392,2304,136000,1856,78528
14:41:13,3392,2304,136000,1856,78528
14:41:15,3392,2304,136000,1856,78528
14:41:17,3392,2304,136000,1856,78528
14:41:19,3392,2304,136000,1856,78528
14:41:21,3392,2304,136000,1856,78528
14:41:23,3392,2304,136000,1856,78528
14:41:25,3392,2304,136000,1856,78528
14:41:27,3392,2304,136000,1856,78528
14:41:29,3392,2304,136000,1856,78528
14:41:31,3392,2304,136000,1856,78784
14:41:33,3392,2304,136000,1856,78528
14:41:35,3392,2304,136000,1856,78528
14:41:37,3392,2304,136000,1856,78528
14:41:39,3392,2304,136000,1856,78528
14:41:41,3392,2304,136000,1856,78528
14:41:43,3392,2304,136000,1856,78528
14:41:45,3392,2304,136000,1856,78784
14:41:47,3392,2304,136000,1856,78528
14:41:49,3392,2304,136000,1856,78528
14:41:51,3392,2304,136000,1856,78528
14:41:53,3392,2304,136000,1856,78528
14:41:55,3392,2304,136000,1856,78528
14:41:57,3392,2304,136000,1856,78528
14:41:59,3392,2304,136000,1856,78528
14:42:01,3392,2304,136000,1856,78528
14:42:03,3392,2304,136000,1856,78528
14:42:05,3392,2304,136000,1856,78528
14:42:07,3392,2304,136000,1856,78528
14:42:09,3392,2304,136000,1856,79040
14:42:11,3392,2304,136000,1856,79040
14:42:13,3392,2304,136000,1856,79040
14:42:15,3392,2304,136000,1856,79040
14:42:17,3392,2304,136000,1856,79040
14:42:19,3392,2304,136000,1856,79040
14:42:21,3392,2304,136000,1856,79040
14:42:23,3392,2304,136000,1856,79040
14:42:25,3392,2304,136000,1856,79040
14:42:27,3392,2304,136000,1856,79040
14:42:29,3392,2304,136000,1856,79040
14:42:31,3392,2304,136000,1856,79040
14:42:33,3392,2304,136000,1856,79040
14:42:35,3392,2304,136000,1856,79040
