TIME,DATABASE_MEMORY,DBHEAP,INSTANCE_MEMORY,LOCKLIST,PCKCACHESZ,SHEAPTHRES_SHR,SORTHEAP,STAT_HEAP_SZ,STMTHEAP,UTIL_HEAP_SZ
2015-02-02 16:13:29,0,0,0,0,0,0,0,0,0,0
2015-02-02 16:18:10,0,0,0,0,0,0,0,0,0,0
2015-02-03 09:44:38,0,0,0,0,0,0,0,0,0,0
2015-02-03 09:50:03,0,0,11051604,0,0,0,0,0,0,0
2015-02-03 09:50:26,56672,0,0,0,0,0,0,0,0,0
2015-02-03 09:50:46,56832,0,0,0,0,0,0,0,0,0
2015-02-03 09:51:06,0,6198,0,4096,2812,915100,45755,0,16384,587551
2015-02-03 09:53:49,2724832,0,0,0,0,0,0,0,0,0
2015-02-03 10:04:13,5420144,0,0,0,566,0,0,0,0,0
2015-02-03 10:05:20,0,0,0,6144,8198,0,0,0,0,0
2015-02-03 10:06:20,1872711,0,0,9216,0,0,0,0,0,0
2015-02-03 10:07:20,0,0,0,13824,0,0,0,0,0,0
2015-02-03 10:13:20,4119822,0,0,0,0,0,0,0,0,0
2015-02-03 10:14:09,4076160,0,0,0,0,0,0,0,0,0
2015-02-03 10:16:02,4119875,0,0,0,0,0,0,0,0,0
2015-02-03 10:17:09,4076160,0,0,0,0,0,0,0,0,0
2015-02-03 10:20:00,4076384,0,0,0,0,0,0,0,0,0
2015-02-03 10:21:04,4120088,0,0,0,0,0,0,0,0,0
2015-02-04 08:34:41,4076384,0,0,0,0,0,0,0,0,0
2015-02-04 08:35:46,4120088,0,0,0,0,0,0,0,0,0
2015-02-04 10:26:08,0,0,0,0,0,0,0,0,0,0
2015-02-04 15:34:34,0,0,0,0,0,0,0,0,0,0
2015-02-04 15:34:43,0,0,0,0,0,0,0,0,0,0
2015-02-04 15:34:54,0,0,0,0,0,0,0,0,0,0
2015-02-04 15:35:45,0,0,0,0,0,0,0,0,0,0
2015-02-04 15:37:25,0,0,0,0,0,0,0,16384,0,0
2015-02-05 08:34:13,4076384,0,0,0,0,0,0,0,0,0
2015-02-05 08:35:19,4120088,0,0,0,0,0,0,0,0,0
2015-02-05 08:35:22,0,0,0,0,0,0,0,0,0,0
2015-02-05 09:18:55,4076384,0,0,0,0,0,0,0,0,0
2015-02-05 09:20:00,4120088,0,0,0,0,0,0,0,0,0
2015-02-05 10:02:07,4076384,0,0,0,0,0,0,0,0,0
2015-02-05 10:03:11,4120088,0,0,0,0,0,0,0,0,0
2015-02-06 09:53:22,4076384,0,0,0,0,0,0,0,0,0
2015-02-06 09:54:27,4120088,0,0,0,0,0,0,0,0,0
2015-02-06 09:59:11,4076384,0,0,0,0,0,0,0,0,0
2015-02-06 10:01:19,4120088,0,0,0,0,0,0,0,0,0
2015-02-06 10:02:28,4076384,0,0,0,0,0,0,0,0,0
2015-02-06 10:03:32,4120088,0,0,0,0,0,0,0,0,0
2015-02-06 10:08:15,4076384,0,0,0,0,0,0,0,0,0
2015-02-06 10:10:32,4120088,0,0,0,0,0,0,0,0,0
2015-02-06 10:31:16,4076384,0,0,0,0,0,0,0,0,0
2015-02-06 10:33:37,4120088,0,0,0,0,0,0,0,0,0
2015-02-06 13:16:53,4076384,0,0,0,0,0,0,0,0,0
2015-02-06 13:17:58,4120088,0,0,0,0,0,0,0,0,0
2015-02-07 18:43:59,0,0,0,13152,0,0,0,0,0,0
2015-02-07 20:50:00,0,0,0,12512,0,0,0,0,0,0
2015-02-07 22:59:00,0,0,0,11904,0,0,0,0,0,0
2015-02-08 07:14:00,0,0,0,11328,0,0,0,0,0,0
2015-02-08 07:17:00,0,0,0,16992,0,0,0,0,0,0
2015-02-09 09:56:01,4314222,0,0,0,0,0,0,0,0,0
2015-02-09 09:59:01,4096177,0,0,0,0,0,0,0,0,0
2015-02-09 10:02:01,4250151,0,0,0,0,0,0,0,0,0
2015-02-09 10:05:01,4045831,0,0,0,0,0,0,0,0,0
2015-02-09 12:59:02,0,0,0,16160,0,0,0,0,0,0
2015-02-09 13:02:02,0,0,0,15360,0,0,0,0,0,0
2015-02-09 13:05:02,0,0,0,14592,0,0,0,0,0,0
2015-02-09 13:08:02,0,0,0,13888,0,0,0,0,0,0
2015-02-09 13:11:02,0,0,0,13216,0,0,0,0,0,0
2015-02-09 13:14:02,0,0,0,12576,0,0,0,0,0,0
2015-02-09 13:17:02,0,0,0,11968,0,0,0,0,0,0
