TIME,UOWEXEC,UOWWAIT,OTHER
10:50:28,1,1,1
10:50:30,1,1,1
10:50:33,1,1,1
10:50:35,1,1,1
10:50:38,1,1,1
10:50:41,1,1,1
10:50:44,2,0,1
10:50:46,2,0,1
10:50:48,2,0,1
10:50:50,2,0,1
10:50:52,2,0,1
10:50:54,2,0,1
10:50:56,2,0,1
10:50:58,2,0,1
10:51:00,2,0,1
10:51:02,2,0,1
10:51:04,2,0,1
10:51:06,2,0,1
10:51:08,2,0,1
10:51:10,2,0,1
10:51:12,2,0,1
10:51:14,2,0,1
10:51:17,2,0,1
10:51:18,2,0,1
10:51:20,2,0,1
10:51:23,2,0,1
10:51:25,2,0,1
10:51:27,2,0,1
10:51:29,2,0,1
10:51:31,2,0,1
10:51:33,2,0,1
10:51:35,2,0,1
10:51:37,2,0,1
10:51:39,2,0,1
10:51:41,2,0,1
11:10:58,1,1,1
11:11:00,1,1,1
11:11:02,1,1,1
11:11:04,1,1,1
11:11:06,1,1,1
11:11:08,1,1,1
11:11:10,1,1,1
11:11:12,1,1,1
11:11:14,1,1,1
11:11:34,1,1,1
11:11:36,1,1,1
11:11:38,1,1,1
11:11:40,1,1,1
11:11:42,1,1,1
11:11:44,1,1,1
11:11:46,1,1,1
11:11:48,1,1,1
11:11:50,1,1,1
11:11:52,1,1,1
11:11:54,1,1,1
11:11:56,1,1,1
11:11:58,1,1,1
11:12:00,1,1,1
11:12:02,1,1,1
11:12:04,1,1,1
11:12:06,1,1,1
11:12:08,1,1,1
11:12:10,1,1,1
11:12:11,1,1,1
11:12:12,1,1,1
11:12:13,1,1,1
11:12:14,1,1,1
11:12:15,1,1,1
11:12:16,1,1,1
11:12:17,1,1,1
11:12:18,1,1,1
11:12:19,1,1,1
11:12:20,1,1,1
11:12:21,1,1,1
11:12:22,1,1,1
11:12:23,1,1,1
11:12:25,1,1,1
11:13:41,1,1,1
11:13:43,1,1,1
11:13:45,1,1,1
11:13:47,1,1,1
11:13:49,1,1,1
13:05:57,1,0,1
13:05:59,1,0,1
13:06:01,1,0,1
13:06:03,1,0,1
13:06:05,1,0,1
13:06:07,1,0,1
13:06:09,1,0,1
13:06:11,1,0,1
13:06:13,1,0,1
13:06:15,1,0,1
13:06:17,1,0,1
13:06:19,1,0,1
13:06:21,1,0,1
13:06:23,1,0,1
13:06:25,1,0,1
13:06:27,1,0,1
13:06:29,1,0,1
13:06:31,1,0,1
13:06:33,1,0,1
13:07:57,1,0,1
13:08:07,1,0,1
13:08:18,1,0,1
13:08:28,1,0,1
13:08:38,1,0,1
13:08:48,1,0,1
13:08:58,1,0,1
13:09:08,1,0,1
13:09:18,1,0,1
13:09:28,1,0,1
13:09:38,1,0,1
13:09:48,1,0,1
13:09:58,1,0,1
13:10:08,1,0,1
13:10:18,1,0,1
13:10:28,1,0,1
13:10:38,1,0,1
13:10:48,1,0,1
13:10:58,1,0,1
13:11:08,1,0,1
13:11:18,1,0,1
13:11:28,1,0,1
13:11:38,1,0,1
