TIME,APPLS_CUR_CONS,APPLS_IN_DB2
20171212001002,123,1
20171212002002,124,1
20171212003002,124,1
20171212004001,122,1
20171212005001,124,2
20171212010002,124,2
20171212011002,123,1
20171212012002,124,1
20171212013002,124,2
20171212014002,123,2
20171212015002,124,4
20171212020002,127,4
20171212021001,123,2
20171212022001,123,2
20171212023002,124,3
20171212024002,125,3
20171212025001,125,1
20171212030001,124,1
20171212031002,125,1
20171212032002,124,1
20171212033002,124,1
20171212034002,125,2
20171212035001,123,2
20171212040001,122,1
20171212041002,124,2
20171212042003,123,1
20171212043001,124,3
20171212044001,124,1
20171212045002,123,1
20171212050001,126,2
20171212051001,122,1
20171212052001,122,1
20171212053001,122,1
20171212054002,122,1
20171212055002,122,1
20171212060002,123,2
20171212061001,124,1
20171212062001,124,1
20171212063001,124,2
20171212064002,123,2
20171212065002,123,1
20171212070002,123,2
20171212071002,123,2
20171212072002,124,2
20171212073002,123,1
20171212074002,123,1
20171212075002,122,1
20171212080001,127,4
20171212081002,122,1
20171212082002,124,1
20171212083001,124,6
20171212084002,122,3
20171212085002,122,2
20171212090002,126,6
20171212091002,136,8
20171212092002,142,6
20171212093002,150,11
20171212094002,165,5
20171212095002,169,11
20171212100002,170,14
20171212101001,214,18
20171212102001,208,16
20171212103002,218,16
20171212104002,217,11
20171212105002,215,11
20171212110002,214,14
20171212111002,199,14
20171212112002,173,15
20171212113001,183,17
20171212114001,180,10
20171212115001,187,16
20171212120001,188,12
20171212121002,173,6
20171212122002,156,6
20171212123002,159,6
20171212124002,156,8
20171212125001,155,5
20171212130002,156,9
20171212131002,157,10
20171212132001,156,6
20171212133001,163,17
20171212134001,182,20
20171212135001,224,17
20171212140001,220,36
20171212141001,219,21
20171212142001,237,16
20171212143001,248,11
20171212144002,278,13
20171212145002,279,16
20171212150002,278,16
20171212151002,217,13
20171212152002,187,13
20171212153002,194,17
20171212154002,193,21
20171212155002,194,13
20171212160002,192,16
20171212161002,217,10
20171212162002,183,9
20171212163001,193,18
20171212164001,191,11
20171212165001,197,11
20171212170001,197,24
20171212171001,223,21
20171212172001,207,16
20171212173001,205,19
20171212174001,207,13
20171212175001,209,13
20171212180002,216,9
20171212181002,246,14
20171212182002,211,8
20171212183002,209,6
20171212184002,189,5
20171212185002,158,3
20171212190002,170,4
20171212191002,151,5
20171212192002,152,5
20171212193002,143,2
20171212194002,143,3
20171212195002,121,4
20171212200002,116,3
20171212201002,128,2
20171212202002,129,3
20171212203002,132,3
20171212204001,132,5
20171212205001,126,2
20171212210002,131,4
20171212211002,128,2
20171212212002,129,1
20171212213002,127,3
20171212214002,128,1
20171212215001,122,4
20171212220001,129,2
20171212221002,127,1
20171212222002,127,3
20171212223002,125,2
20171212224002,125,1
20171212225002,125,2
20171212230002,127,2
20171212231001,123,1
20171212232002,122,1
20171212233002,124,3
20171212234002,122,1
20171212235002,124,2
20171213000001,125,2
20171213001002,122,1
20171213002002,122,1
20171213003002,125,3
20171213004002,122,1
20171213005002,124,2
20171213010002,121,2
20171213011002,124,1
20171213012002,122,1
20171213013002,124,4
20171213014002,124,2
20171213015002,124,2
20171213020002,125,3
20171213021002,122,1
20171213022001,124,1
20171213023002,123,2
20171213024002,125,3
20171213025002,125,2
20171213030002,124,3
20171213031001,125,2
20171213032001,123,1
20171213033002,122,4
20171213034002,120,2
20171213035002,122,4
20171213040002,120,1
20171213041002,120,2
20171213042002,121,2
20171213043002,121,1
20171213044001,121,2
20171213045001,121,1
20171213050001,124,3
20171213051001,122,1
20171213052001,122,1
20171213053001,121,2
20171213054001,122,1
20171213055001,120,1
20171213060001,123,3
20171213061001,121,2
20171213062001,121,3
20171213063001,122,2
20171213064001,121,2
20171213065001,121,1
20171213070001,122,2
20171213071001,122,1
20171213072001,121,1
20171213073001,121,1
20171213074001,120,1
20171213075001,121,2
20171213080002,123,3
20171213081002,122,3
20171213082002,119,1
20171213083001,123,5
20171213084002,121,3
20171213085001,124,4
20171213090002,128,9
20171213091002,131,10
20171213092001,146,5
20171213093001,149,8
20171213094001,162,9
20171213095002,172,10
20171213100002,170,10
20171213101001,186,13
20171213102001,203,16
20171213103001,208,33
20171213104001,280,21
20171213105002,299,35
20171213110001,278,14
20171213111001,247,26
20171213112001,274,20
20171213113001,374,18
20171213114002,376,17
20171213115002,376,11
20171213120002,335,3
20171213121002,281,9
20171213122002,173,5
20171213123002,175,7
20171213124002,171,5
20171213125002,170,4
20171213130002,159,5
20171213131002,166,6
20171213132001,194,10
20171213133001,193,15
20171213134001,209,10
20171213135001,213,13
20171213140001,224,14
20171213141001,229,14
20171213142001,218,16
20171213143001,277,20
20171213144001,279,16
20171213145001,279,20
20171213150001,239,11
20171213151001,219,12
20171213152001,183,10
20171213153001,186,9
20171213154001,193,9
20171213155001,194,11
20171213160001,183,5
20171213161002,207,10
20171213162002,185,16
20171213163002,251,6
20171213164002,252,13
20171213165002,252,15
20171213170001,240,11
20171213171002,233,7
20171213172002,167,5
20171213173001,204,8
20171213174001,207,8
20171213175002,213,9
20171213180002,208,5
20171213181002,204,9
20171213182002,155,4
20171213183002,151,3
20171213184002,149,3
20171213185002,148,4
20171213190002,138,7
20171213191002,135,3
20171213192001,124,3
20171213193001,122,1
20171213194001,127,3
20171213195002,126,2
20171213200002,129,3
20171213201002,128,4
20171213202001,129,2
20171213203002,129,4
20171213204002,127,3
20171213205002,128,2
20171213210002,127,3
20171213211002,128,2
20171213212002,122,2
20171213213001,126,2
20171213214002,122,1
20171213215001,125,3
20171213220001,122,1
20171213221001,122,1
20171213222002,123,2
20171213223002,123,1
20171213224002,123,2
20171213225002,124,1
20171213230001,127,6
20171213231002,123,2
20171213232002,124,1
20171213233002,124,1
20171213234002,124,3
20171213235002,124,2
20171214000002,125,4
20171214001002,123,1
20171214002001,122,1
20171214003002,125,2
20171214004002,123,1
20171214005002,123,1
20171214010002,125,4
20171214011002,124,2
20171214012002,121,1
20171214013002,125,3
20171214014002,123,1
20171214015002,124,1
20171214020002,125,3
20171214021001,123,1
20171214022001,122,1
20171214023001,123,2
20171214024001,124,1
20171214025002,124,1
20171214030002,125,1
20171214031001,123,2
20171214032002,123,1
20171214033002,124,1
20171214034002,123,2
20171214035002,124,1
20171214040002,124,2
20171214041001,124,2
20171214042001,122,1
20171214043001,123,2
20171214044001,124,1
20171214045001,121,1
20171214050001,126,3
20171214051002,123,1
20171214052001,123,1
20171214053001,124,1
20171214054002,121,1
20171214055001,122,1
20171214060001,124,1
20171214061002,123,2
20171214062002,123,1
20171214063002,124,2
20171214064002,124,1
20171214065002,122,1
20171214070002,124,2
20171214071001,122,1
20171214072001,124,2
20171214073001,123,2
20171214074002,124,2
20171214075002,122,1
20171214080002,125,1
20171214081002,124,1
20171214082002,124,3
20171214083002,126,1
20171214084002,121,1
20171214085002,122,3
20171214090003,126,4
20171214091001,125,3
20171214092001,135,2
20171214093002,146,3
20171214094002,145,7
20171214095002,150,4
20171214100002,153,8
20171214101002,151,10
20171214102002,166,3
20171214103002,173,9
20171214104002,174,9
20171214105001,173,10
20171214110002,193,4
20171214111002,194,6
20171214112002,170,9
20171214113002,170,15
20171214114002,174,13
20171214115001,210,10
20171214120001,201,6
20171214121001,195,3
20171214122002,148,4
