time,NODE1,NODE2,NODE3
2015-04-12 13:29:00.0,0.51,1.18,0.51
2015-04-12 13:30:00.0,0.51,1.08,0.46
2015-04-12 13:31:00.0,0.48,1.05,0.49
2015-04-12 13:32:00.0,0.51,1.13,0.52
2015-04-12 13:33:00.0,0.53,1.11,0.53
2015-04-12 13:34:00.0,0.5,1.03,0.49
2015-04-12 13:35:00.0,0.52,1.18,0.49
2015-04-12 13:36:00.0,0.49,1.14,0.48
2015-04-12 13:37:00.0,0.5,1.07,0.49
2015-04-12 13:38:00.0,0.52,1.16,0.48
2015-04-12 13:39:00.0,0.5,1.08,0.46
2015-04-12 13:40:00.0,0.52,1.13,0.5
2015-04-12 13:41:00.0,0.51,1.1,0.49
2015-04-12 13:42:00.0,0.48,1.09,0.48
2015-04-12 13:43:00.0,0.48,1.06,0.49
2015-04-12 13:44:00.0,0.56,1.12,0.54
2015-04-12 13:45:00.0,0.51,1.18,0.5
2015-04-12 13:46:00.0,0.5,1.21,0.56
2015-04-12 13:47:00.0,0.5,1.11,0.5
2015-04-12 13:48:00.0,0.47,1.06,0.48
2015-04-12 13:49:00.0,0.49,1.11,0.5
2015-04-12 13:50:00.0,0.52,1.31,0.53
2015-04-12 13:51:00.0,0.48,2.18,0.53
2015-04-12 13:52:00.0,0.49,1.77,0.49
2015-04-12 13:53:00.0,0.49,1.07,0.5
2015-04-12 13:54:00.0,0.51,1.12,0.53
2015-04-12 13:55:00.0,0.49,1.25,0.58
2015-04-12 13:56:00.0,0.5,1.2,0.6
2015-04-12 13:57:00.0,0.49,1.2,0.67
2015-04-12 13:58:00.0,0.49,1.17,0.54
2015-04-12 13:59:00.0,0.5,1.12,0.54
2015-04-12 14:00:00.0,0.5,1.11,0.5
2015-04-12 14:01:00.0,0.51,1.1,0.49
2015-04-12 14:02:00.0,0.53,1.13,0.49
2015-04-12 14:03:00.0,0.48,1.03,0.48
2015-04-12 14:04:00.0,0.52,1.06,0.51
2015-04-12 14:05:00.0,0.52,1.13,0.51
2015-04-12 14:06:00.0,0.53,1.15,0.61
2015-04-12 14:07:00.0,0.48,1.16,0.61
