TIME,VALUE
05:09:48,26.66
05:09:50,83.17
05:09:52,9.55
05:09:54,58.34
05:09:56,33.4
05:09:58,27.43
05:10:00,69.29
05:10:02,35.17
05:10:04,81.06
05:10:06,46.25
05:10:08,86.68
05:10:10,67.51
05:10:12,12.82
05:10:14,31.96
05:10:16,2.5300000000000002
05:10:18,46.1
05:10:20,47.660000000000004
05:10:22,97.45
05:10:24,50.550000000000004
05:10:26,40.53
05:10:28,79.38
05:10:30,29.23
05:10:32,66.87
05:10:34,31.39
05:10:36,9.3
05:10:38,61.67
05:10:40,59.19
05:10:42,89.3
05:10:44,63.82
05:10:46,23.21
05:10:48,84.84
05:10:50,51.19
05:10:52,46.13
05:10:54,4.57
05:10:56,88.60000000000001
05:10:58,42.76
05:11:00,72.38
05:11:02,98.8
05:11:04,49.79
05:11:06,98.45
05:11:08,42.1
05:11:08,63.25
05:11:10,88.60000000000001
05:11:10,28.12
05:11:12,93.24
05:11:12,53.25
05:11:14,82.14
05:11:14,80.06
05:11:16,91.17
05:11:16,77.84
05:11:18,39.44
05:11:18,51.95
05:11:20,2.69
05:11:20,27.38
05:11:22,85.94
05:11:22,97.73
05:11:24,3.46
05:11:24,22.75
05:11:26,7.75
05:11:26,81.75
05:11:28,71.11
05:11:28,36.77
05:11:30,4.68
05:11:30,29.82
05:11:32,11.47
05:11:32,37.59
05:11:34,3.06
05:11:34,26.93
05:11:36,69.81
05:11:36,3.17
05:11:38,77.82000000000001
05:11:38,12.200000000000001
05:11:40,76.48
05:11:40,58.69
05:11:42,33.87
05:11:42,20.16
05:11:44,76.7
05:11:44,85.37
05:11:46,96.97
05:11:46,19.53
05:11:48,94.8
05:11:48,50.6
05:11:50,63.92
05:11:50,98.47
05:11:52,82.89
05:11:52,11.040000000000001
05:11:54,62.160000000000004
05:11:54,46.77
05:11:56,3.87
05:11:57,36.76
05:11:58,68.52
05:11:59,84.86
05:12:00,98.78
05:12:01,7.5
05:12:02,37.95
05:12:03,90.02
05:12:04,88.60000000000001
05:12:05,31.03
05:12:06,90.82000000000001
05:12:07,69.13
05:12:08,60.36
05:12:09,33.02
05:12:10,10.03
05:12:11,28.19
05:12:12,87.61
05:12:13,69.13
05:12:14,97.84
05:12:15,89.38
05:12:16,35.410000000000004
05:12:17,8.42
05:12:18,41.02
05:12:19,4.01
05:12:20,99.55
05:12:21,39.52
05:12:22,36.87
05:12:23,13.31
05:12:25,29.96
05:12:26,47.83
05:12:27,27.1
05:12:29,5.32
05:12:30,89.11
05:12:35,92.02
05:12:38,94.10000000000001
05:12:43,53.92
05:12:46,93.60000000000001
05:12:51,39.78
05:13:01,28.82
05:13:11,31.07
05:13:21,48.58
05:13:31,80.64
05:13:41,31.51
05:13:52,52.4
05:14:02,23.02
05:14:12,18.400000000000002
05:14:24,79.65
05:14:31,55.32
05:14:41,50.36
05:14:47,18.91
05:14:59,55.52
05:15:09,90.48
05:15:19,62.79
05:15:29,92.56
05:15:39,87.78
05:15:49,10.11
05:15:59,89.82000000000001
05:16:05,63.75
05:16:15,4.36
05:16:25,33.44
05:16:35,17.79
05:16:45,43.71
05:16:55,26.330000000000002
05:17:08,29.900000000000002
05:17:10,13.44
05:17:13,99.92
05:17:18,78.07000000000001
05:17:20,78.46000000000001
05:17:24,26.900000000000002
05:17:26,60.25
05:17:29,1.33
05:17:33,22.77
05:17:36,88.58
05:17:38,48.480000000000004
05:17:40,66.98
05:17:42,5.8500000000000005
05:17:44,35.980000000000004
05:17:46,40.59
05:17:48,80.49
