TIME,APPLICATION,SHAREDSORT,LOCKLIST,PACKAGECACHE,PRIVATE
16:59:44,2560,1280,17216,384,18432
16:59:54,2560,1280,17216,384,18432
17:00:04,2560,1280,17216,384,18496
17:00:14,2304,1280,17216,384,18496
17:00:24,56064,729984,17216,768,25984
17:00:34,59648,2027776,17216,768,26112
17:00:44,60544,2049664,17216,768,26112
17:00:54,60736,2088896,17216,1152,26368
17:01:04,61120,2055232,17216,1152,26368
17:01:14,60800,2058944,17216,1152,26368
17:01:24,60800,2041216,17216,1152,26368
17:01:34,74624,756864,17216,1152,28864
17:01:44,74624,772736,17216,1152,28864
17:01:54,74624,792384,17216,1152,28864
17:02:04,74624,817920,17216,1152,28864
17:02:14,74624,838528,17216,1152,28864
17:02:24,74624,896704,17216,1152,28864
17:02:34,74624,902080,17216,1152,28864
17:02:44,74624,852608,17216,1152,28864
17:02:54,74624,852608,17216,1152,28864
17:03:04,74624,846464,17216,1152,28864
17:03:14,74624,849536,17216,1152,28864
17:03:24,74624,852608,17216,1152,28864
17:03:34,74624,842048,17216,1152,28864
17:03:44,74624,851264,17216,1152,28864
17:03:54,74624,852288,17216,1152,28672
17:04:04,74624,850240,17216,1152,28672
17:04:14,74752,855360,17216,1280,28864
17:04:24,74624,848192,17216,1664,31424
17:04:34,74624,854336,17216,1664,31424
17:04:45,74624,852288,17216,1664,31424
17:04:55,74624,845120,17216,1664,31424
17:05:05,74624,853312,17216,1664,31424
17:05:15,74624,854336,17216,1664,31424
17:05:25,74624,852288,17216,1664,31424
17:05:35,74624,850240,17216,1664,31424
17:05:45,74624,850240,17216,1664,31424
17:05:55,74624,845120,17216,1664,31424
17:06:05,74624,856384,17216,1664,31424
17:06:15,74624,851264,17216,1664,31424
17:06:25,74624,841024,17216,1664,31424
17:06:35,74624,430848,17216,1664,31424
17:06:45,74624,429824,17216,1664,31424
17:06:55,74624,429824,17216,1664,31424
17:07:05,74624,429824,17216,1664,31424
17:07:15,74624,429824,17216,1664,31424
17:07:25,74624,429824,17216,1664,31424
17:07:35,74624,429824,17216,1664,31424
17:07:45,74624,429824,17216,1664,31424
17:07:55,74624,429824,17216,1664,31424
17:08:05,74624,429824,17216,1664,31424
17:08:15,74624,429824,17216,1664,31424
17:08:25,74624,429824,17216,1664,31424
17:08:35,74624,429824,17216,1664,31424
17:08:45,74624,429824,17216,1664,31424
17:08:55,74624,429824,17216,1664,31232
17:09:05,74624,429824,17216,1664,31232
17:09:15,74624,429824,17216,1664,31232
17:09:25,74624,560384,17216,1664,31232
17:09:35,74624,560384,17216,1664,31232
17:09:45,74624,560384,17216,1664,31232
17:09:55,74624,684800,17216,1664,31232
17:10:05,74624,747008,17216,1664,31232
17:10:15,74624,809216,17216,1664,31232
17:10:25,74624,871424,17216,1664,31232
17:10:35,74624,980288,17216,1664,31232
17:10:45,74624,1066688,17216,1664,31232
17:10:55,74624,1142336,17216,1664,31232
17:11:05,74624,1193344,17216,1664,31232
17:11:15,74624,1218368,17216,1664,31232
17:11:25,74624,1252288,17216,1664,31232
17:11:35,74624,1285696,17216,1664,31232
17:11:45,74624,1297344,17216,1664,31232
17:11:55,74624,1370752,17216,1664,31232
17:12:05,74624,1440128,17216,1664,31232
17:12:15,74624,1520256,17216,1664,31232
17:12:25,74624,1565824,17216,1664,31232
17:12:35,74624,1663808,17216,1664,31232
17:12:45,74624,1745344,17216,1664,31232
17:12:55,74624,1817600,17216,1664,31232
17:13:05,74624,1875456,17216,1664,31232
