TIME,APPLICATION,SHAREDSORT,LOCKLIST,PACKAGECACHE,PRIVATE
08:39:56,2560,1280,17216,448,18176
08:39:58,2560,1280,17216,448,18176
08:40:00,2560,1536,17216,448,18176
08:40:02,2560,1536,17216,448,18176
08:40:04,2560,1536,17216,448,18176
08:40:06,2560,1280,17216,448,18240
08:40:08,32448,944640,17216,640,23424
08:40:10,33984,1612288,17216,640,23424
08:40:12,35136,1921536,17216,640,23488
08:40:14,35520,1918464,17216,640,23488
08:40:16,35520,1905152,17216,640,23488
08:40:18,35584,1905152,17216,640,23488
08:40:20,35584,1900032,17216,640,23488
08:40:22,35648,1917440,17216,640,23488
08:40:24,35648,1907200,17216,640,23488
08:40:26,35648,1907200,17216,640,23488
08:40:28,35648,1902080,17216,640,23488
08:40:30,35648,1935872,17216,640,23488
08:40:32,66944,2536704,17216,640,25280
08:40:34,80512,3613632,17216,640,25280
08:40:36,117504,3444992,17216,640,25280
08:40:38,118080,3441920,17216,640,25280
08:40:40,119168,3438848,17216,640,25280
08:40:42,119360,3438848,17216,640,25280
08:40:44,119488,3438848,17216,640,25280
08:40:46,119808,3437824,17216,640,25280
08:40:48,120128,3437824,17216,640,25280
08:40:50,120448,3423488,17216,640,25152
08:40:52,121280,3419392,17216,640,25344
08:40:54,121792,3406080,17216,640,25344
08:40:56,122880,3370240,17216,640,25344
08:40:58,123264,3315968,17216,640,25344
08:41:00,123520,3305728,17216,640,25344
08:41:02,123712,3298560,17216,640,25344
08:41:04,123904,3298560,17216,640,25344
08:41:06,124032,3286272,17216,640,25344
08:41:08,124160,3286272,17216,640,25344
08:41:10,124480,3279104,17216,640,25344
08:41:12,124544,3279104,17216,640,25344
08:41:14,125824,3265792,17216,640,25344
08:41:16,126272,3252480,17216,640,25344
08:41:18,126528,3251456,17216,640,25344
08:41:20,126912,3252480,17216,640,25344
08:41:22,127168,3251456,17216,640,25344
08:41:24,127360,3250432,17216,640,25344
08:41:27,127936,3248384,17216,640,25344
08:41:29,128128,3248384,17216,640,25344
08:41:31,128512,3242240,17216,640,25344
08:41:33,129280,3242240,17216,640,25344
08:41:35,130112,3241216,17216,640,25344
08:41:37,130432,3238144,17216,640,25344
08:41:39,130688,3232000,17216,640,25344
08:41:41,133376,2765824,17216,640,25344
08:41:43,133376,2765824,17216,640,25344
08:41:45,133376,3223488,17216,640,25344
08:41:47,148864,3175040,17216,640,25344
08:41:49,148992,3172992,17216,640,25344
08:41:51,150912,3174016,17216,640,25344
08:41:53,151616,3174016,17216,640,25344
08:41:55,152192,3171968,17216,640,25344
08:41:57,152384,3169920,17216,640,25344
08:41:59,153088,3166848,17216,640,25344
08:42:01,153216,3167872,17216,640,25344
08:42:03,155200,3166848,17216,640,25344
08:42:05,155456,3166848,17216,640,25344
08:42:07,156160,3165824,17216,640,25344
08:42:09,156416,3164800,17216,640,25344
08:42:11,156800,3163776,17216,640,25344
08:42:13,156864,3163776,17216,640,25344
08:42:15,156864,3163776,17216,640,25344
08:42:17,157504,3158656,17216,640,25344
08:42:19,157504,2748608,17216,640,25344
08:42:21,157504,2749632,17216,640,25344
08:42:23,157504,2749632,17216,640,25344
08:42:25,163264,3048448,17216,640,25344
08:42:27,164672,3046400,17216,640,25344
08:42:29,166272,3044352,17216,640,25344
08:42:31,167232,3038208,17216,640,25344
08:42:33,167424,3038208,17216,640,25344
08:42:35,168640,3037184,17216,640,25344
08:42:37,168768,3036160,17216,640,25344
08:42:39,169472,3034112,17216,640,25344
08:42:41,169984,3035136,17216,640,25344
08:42:43,170624,3035136,17216,640,25344
08:42:45,171968,3033088,17216,640,25344
08:42:47,172352,3028992,17216,640,25344
08:42:49,173120,3028992,17216,640,25344
08:42:51,173312,3030016,17216,640,25344
08:42:53,173696,3027968,17216,640,25344
08:42:55,174976,3027968,17216,640,25344
08:42:57,175232,3023872,17216,640,25344
08:42:59,184640,2512640,17216,640,25344
08:43:01,184640,2513664,17216,640,25344
08:43:03,184640,2513664,17216,640,25344
08:43:05,184640,2513664,17216,640,25344
08:43:07,184768,2512640,17216,960,25344
08:43:09,184768,2512640,17216,960,25408
08:43:11,184768,2513664,17216,960,25472
08:43:13,184768,2513664,17216,960,25472
08:43:15,184768,2513664,17216,960,25472
08:43:17,184768,2512640,17216,960,25472
08:43:19,184768,2512640,17216,1024,25472
08:43:21,184768,2513664,17216,1024,25472
08:43:23,184768,2513664,17216,1024,25472
08:43:25,184896,2513664,17216,1344,28224
08:43:27,185024,2575104,17216,1344,28224
08:43:29,184960,2513664,17216,1472,28288
08:43:31,184768,2512640,17216,1280,28288
08:43:33,184768,2512640,17216,1280,28288
08:43:35,184768,2513664,17216,1280,28288
08:43:37,184640,2513664,17216,1280,28288
08:43:39,184640,2513664,17216,1280,28288
08:43:41,184640,2512640,17216,1280,28288
08:43:43,184640,2512640,17216,1280,28288
08:43:45,184640,2513664,17216,1280,28288
08:43:47,184640,2513664,17216,1280,27840
08:43:49,184640,2513664,17216,1280,27840
08:43:51,184640,2512640,17216,1280,27840
08:43:53,184640,2512640,17216,1280,27840
08:43:55,184640,2513664,17216,1280,27840
08:43:57,184640,2513664,17216,1280,27840
08:43:59,184640,2512640,17216,1280,27840
08:44:01,184704,2513664,17216,1280,27840
08:44:03,184704,2513664,17216,1280,27840
08:44:05,184704,2513664,17216,1280,27840
08:44:07,184704,2513664,17216,1280,27840
08:44:09,184704,2512640,17216,1280,27840
08:44:11,184704,2512640,17216,1280,27840
08:44:13,184768,2513664,17216,1280,27840
08:44:15,184768,2513664,17216,1280,27840
08:44:17,184768,2513664,17216,1280,27840
08:44:19,184768,2512640,17216,1280,27840
08:44:21,184768,2512640,17216,1280,27840
08:44:23,184768,2513664,17216,1280,27840
08:44:25,184832,2513664,17216,1280,27840
08:44:27,184832,2513664,17216,1280,27840
08:44:29,184832,2512640,17216,1280,27840
08:44:31,184896,2512640,17216,1280,27840
08:44:33,184896,2513664,17216,1280,27840
08:44:35,184896,2513664,17216,1280,27840
08:44:37,184896,2513664,17216,1280,27840
08:44:39,184960,2512640,17216,1280,27840
08:44:41,184960,2512640,17216,1280,27840
08:44:43,184960,2513664,17216,1280,27840
08:44:45,184960,2513664,17216,1280,27840
08:44:47,184960,2513664,17216,1280,27840
08:44:49,185024,2512640,17216,1280,27840
08:44:51,185024,2512640,17216,1280,27840
08:44:53,185088,2513664,17216,1280,27840
08:44:55,185152,2513664,17216,1280,27840
08:44:57,185344,2513664,17216,1280,27840
08:44:59,185408,2512640,17216,1280,27840
08:45:01,185408,2512640,17216,1280,27840
08:45:03,185600,2513664,17216,1280,27840
08:45:05,185792,2513664,17216,1280,27840
08:45:07,185792,2513664,17216,1280,27840
08:45:09,185792,2512640,17216,1280,27840
08:45:11,185792,2512640,17216,1280,27840
08:45:13,185792,2513664,17216,1280,27840
08:45:15,185792,2513664,17216,1280,27840
08:45:17,185920,2513664,17216,1280,27840
08:45:19,186048,2512640,17216,1280,27840
08:45:21,186112,2512640,17216,1280,27840
08:45:23,186112,2513664,17216,1280,27840
08:45:25,186624,2513664,17216,1280,27840
08:45:27,186688,2513664,17216,1280,27840
08:45:29,186816,2512640,17216,1280,27840
08:45:31,187264,2512640,17216,1280,27840
08:45:33,187392,2513664,17216,1280,27840
08:45:35,187456,2513664,17216,1280,27840
08:45:37,187840,2513664,17216,1280,27840
08:45:39,188416,2512640,17216,1280,27840
08:45:41,188544,2512640,17216,1280,27840
08:45:43,188608,2513664,17216,1280,27840
08:45:45,189056,2513664,17216,1280,27840
08:45:47,189248,2513664,17216,1280,27840
08:45:49,189376,2512640,17216,1280,27840
08:45:51,189504,2512640,17216,1280,27840
08:45:53,189568,2513664,17216,1280,27840
08:45:55,189760,2513664,17216,1280,27840
08:45:57,189824,2513664,17216,1280,27840
08:45:59,189824,2512640,17216,1280,27840
08:46:01,189952,2512640,17216,1280,27840
08:46:03,190080,2513664,17216,1280,27840
08:46:05,190208,2513664,17216,1280,27840
08:46:07,190272,2513664,17216,1280,27840
08:46:09,190272,2512640,17216,1280,27840
08:46:11,190528,2512640,17216,1280,27840
08:46:13,190656,2513664,17216,1280,27840
08:46:15,190848,2513664,17216,1280,27840
08:46:17,191104,2513664,17216,1280,27840
08:46:19,191168,2512640,17216,1280,27840
08:46:21,191168,2512640,17216,1280,27840
08:46:23,220416,2620096,17216,1280,27840
08:46:25,224448,2620096,17216,1280,27840
08:46:27,224448,2620096,17216,1280,27840
08:46:29,224448,2619072,17216,1280,27840
08:46:31,224448,2619072,17216,1280,27840
08:46:33,262272,2788992,17216,1280,27840
08:46:35,262720,2794112,17216,1280,27840
08:46:37,263232,2801280,17216,1280,27840
08:46:39,263232,2799232,17216,1280,27840
08:46:41,263488,2794112,17216,1280,27840
08:46:43,263488,2796160,17216,1280,27840
08:46:45,262912,2799232,17216,1280,27840
08:46:47,261632,2801280,17216,1280,27840
08:46:49,263872,2800256,17216,1280,27840
08:46:51,264576,2798208,17216,1280,27840
08:46:53,264704,2797184,17216,1280,27840
08:46:55,264512,2797184,17216,1280,27840
08:46:57,264128,2805376,17216,1280,27840
08:46:59,263744,2802304,17216,1280,27840
08:47:01,263360,2810496,17216,1280,27840
08:47:03,263360,2916800,17216,1280,27840
08:47:05,263360,2638400,17216,1280,27840
08:47:07,263360,2638400,17216,1280,27840
08:47:09,263360,2635328,17216,1280,27840
08:47:11,263488,2809408,17216,1280,27840
08:47:13,263296,2801984,17216,1280,27840
08:47:15,263808,2804032,17216,1280,27840
08:47:17,264640,2809152,17216,1280,27840
08:47:19,264640,2808128,17216,1280,27840
08:47:21,264256,2806080,17216,1280,27840
08:47:23,263808,2807104,17216,1280,27840
08:47:25,263616,2809152,17216,1280,27840
08:47:27,263616,2809152,17216,1280,27840
08:47:29,264320,2808128,17216,1280,27840
08:47:31,264640,2807104,17216,1280,27840
08:47:33,264640,2815296,17216,1280,27840
08:47:35,263744,2915584,17216,1280,27840
08:47:37,263744,2913536,17216,1280,27840
08:47:39,263744,3179072,17216,1280,27840
08:47:41,265152,2802304,17216,1280,27840
08:47:43,264960,2820736,17216,1280,27840
08:47:45,264960,2820736,17216,1280,27840
08:47:47,264640,2817664,17216,1280,27840
08:47:49,264960,2827904,17216,1280,27840
08:47:51,265472,2827904,17216,1280,27840
08:47:53,265984,2829952,17216,1280,27840
08:47:55,266304,2826880,17216,1280,27840
08:47:57,266304,2826880,17216,1280,27840
08:47:59,265920,2822784,17216,1280,27840
08:48:01,266624,2824832,17216,1280,27840
08:48:03,266624,2829952,17216,1280,27840
08:48:05,266240,2934336,17216,1280,27840
08:48:07,266240,2654912,17216,1280,27840
08:48:09,266240,3359104,17216,1280,27840
08:48:11,265856,2821760,17216,1280,27840
08:48:13,265856,2823808,17216,1280,27840
08:48:15,265792,2825856,17216,1280,27840
08:48:17,266304,2825856,17216,1280,27840
08:48:19,266304,2825024,17216,1280,27840
08:48:21,266112,2824832,17216,1280,27840
08:48:23,265920,2828928,17216,1280,27840
08:48:25,266624,2834048,17216,1280,27840
08:48:27,265664,2837120,17216,1280,27840
08:48:29,266176,2833024,17216,1280,27840
08:48:31,266176,2837120,17216,1280,27840
08:48:33,266880,2839360,17216,1280,27840
08:48:35,267072,2953664,17216,1280,27840
08:48:37,267072,2953664,17216,1280,27840
08:48:39,267072,2669120,17216,1280,27840
08:48:41,267776,2837824,17216,1280,27840
08:48:43,267776,2838848,17216,1280,27840
08:48:45,268288,2860352,17216,1280,27840
08:48:47,268288,2870592,17216,1280,27840
08:48:49,268096,2868544,17216,1280,27840
08:48:51,268096,2868544,17216,1280,27840
08:48:53,267904,2863424,17216,1280,27840
08:48:55,267904,2860352,17216,1280,27840
08:48:58,268416,2860352,17216,1280,27840
08:49:00,268224,2856256,17216,1280,27840
08:49:02,268224,2862400,17216,1280,27840
08:49:04,269888,2858304,17216,1280,27840
08:49:06,269888,2858304,17216,1280,27840
08:49:08,269696,2964800,17216,1280,27840
08:49:10,269696,2682624,17216,1280,27840
08:49:12,269696,3226240,17216,1280,27840
08:49:14,271808,2855744,17216,1280,27840
08:49:16,271616,2865984,17216,1280,27840
08:49:18,271424,2867008,17216,1280,27840
08:49:20,271424,2858816,17216,1280,27840
08:49:22,271040,2862912,17216,1280,27840
08:49:24,271552,2867008,17216,1280,27840
08:49:26,271552,2875200,17216,1280,27840
08:49:28,271168,2879296,17216,1280,27840
08:49:30,271168,2875200,17216,1280,27840
08:49:32,270976,2871104,17216,1280,27840
08:49:34,270976,2867008,17216,1280,27840
08:49:36,270784,2870080,17216,1280,27840
08:49:38,270592,2869056,17216,1280,27840
08:49:40,270592,2970368,17216,1280,27840
08:49:42,270592,2691776,17216,1280,27840
08:49:44,271104,2863744,17216,1280,27840
08:49:46,271104,2863744,17216,1280,27840
08:49:48,273024,2882176,17216,1280,27840
08:49:50,273024,2881152,17216,1280,27840
08:49:52,274240,2880128,17216,1280,27840
08:49:54,274048,2897536,17216,1280,27840
08:49:56,273472,2896512,17216,1280,27840
08:49:58,274176,2895488,17216,1280,27840
08:50:00,274176,2892416,17216,1280,27840
08:50:02,274880,2894720,17216,1280,27840
08:50:04,274880,2894464,17216,1280,27840
08:50:06,274880,2894464,17216,1280,27840
08:50:08,274880,2895488,17216,1280,27840
08:50:10,275392,2893440,17216,1280,27840
08:50:12,275392,2907776,17216,1280,27840
08:50:14,275008,2909824,17216,1280,27840
08:50:16,275008,2730560,17216,1280,27840
08:50:18,275008,2730560,17216,1280,27840
08:50:20,275008,2726464,17216,1280,27840
08:50:22,275008,2894144,17216,1280,27840
08:50:24,274816,2895168,17216,1280,27840
08:50:26,274816,2895168,17216,1280,27840
08:50:28,274816,2896192,17216,1280,27840
08:50:30,274624,2892096,17216,1280,27840
08:50:32,274624,2894144,17216,1280,27840
08:50:34,274432,2895168,17216,1280,27840
08:50:36,274240,2896192,17216,1280,27840
08:50:38,274240,2895168,17216,1280,27840
08:50:40,274048,2892096,17216,1280,27840
08:50:42,274048,2892096,17216,1280,27840
08:50:44,274560,2897216,17216,1280,27840
08:50:46,274560,2897216,17216,1280,27840
08:50:48,274368,2896192,17216,1280,27840
08:50:50,274368,2895168,17216,1280,27840
08:50:52,274624,3001792,17216,1280,27840
08:50:54,274624,3002816,17216,1280,27840
08:50:56,274624,2722688,17216,1280,27840
08:50:58,274624,2722688,17216,1280,27840
08:51:00,274624,2719616,17216,1280,27840
08:51:02,274624,3427456,17216,1280,27840
08:51:04,274944,2890880,17216,1280,27840
08:51:06,274944,2887808,17216,1280,27840
08:51:08,274944,2887808,17216,1280,27840
08:51:10,274752,2903168,17216,1280,27840
08:51:12,274752,2903168,17216,1280,27840
