SUPERCLASS,SUBCLASS,TOTAL_STMTS,TOTAL_SORT_CONSUMERS,AVG_SORT_CONSUMERS_PER_STMT
SYSDEFAULTMAINTENANCECLASS    ,SYSDEFAULTSUBCLASS  ,911,45,0
SYSDEFAULTSYSTEMCLASS         ,SYSDEFAULTSUBCLASS  ,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTMANAGEDSUB,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTSUBCLASS  ,72,909,12
SYSDEFAULTMAINTENANCECLASS    ,SYSDEFAULTSUBCLASS  ,911,45,0
SYSDEFAULTSYSTEMCLASS         ,SYSDEFAULTSUBCLASS  ,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTMANAGEDSUB,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTSUBCLASS  ,73,910,12
SYSDEFAULTMAINTENANCECLASS    ,SYSDEFAULTSUBCLASS  ,911,45,0
SYSDEFAULTSYSTEMCLASS         ,SYSDEFAULTSUBCLASS  ,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTMANAGEDSUB,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTSUBCLASS  ,74,911,12
SYSDEFAULTMAINTENANCECLASS    ,SYSDEFAULTSUBCLASS  ,911,45,0
SYSDEFAULTSYSTEMCLASS         ,SYSDEFAULTSUBCLASS  ,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTMANAGEDSUB,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTSUBCLASS  ,75,912,12
SYSDEFAULTMAINTENANCECLASS    ,SYSDEFAULTSUBCLASS  ,911,45,0
SYSDEFAULTSYSTEMCLASS         ,SYSDEFAULTSUBCLASS  ,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTMANAGEDSUB,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTSUBCLASS  ,76,913,12
SYSDEFAULTMAINTENANCECLASS    ,SYSDEFAULTSUBCLASS  ,911,45,0
SYSDEFAULTSYSTEMCLASS         ,SYSDEFAULTSUBCLASS  ,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTMANAGEDSUB,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTSUBCLASS  ,77,914,11
SYSDEFAULTMAINTENANCECLASS    ,SYSDEFAULTSUBCLASS  ,911,45,0
SYSDEFAULTSYSTEMCLASS         ,SYSDEFAULTSUBCLASS  ,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTMANAGEDSUB,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTSUBCLASS  ,78,915,11
SYSDEFAULTMAINTENANCECLASS    ,SYSDEFAULTSUBCLASS  ,911,45,0
SYSDEFAULTSYSTEMCLASS         ,SYSDEFAULTSUBCLASS  ,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTMANAGEDSUB,0,0,0
SYSDEFAULTUSERCLASS           ,SYSDEFAULTSUBCLASS  ,79,916,11
