TIME,VALUE
10:34:49,56.39
10:34:50,69.95
10:34:51,17.02
10:34:52,19.19
10:34:53,25.67
10:34:54,58.34
10:34:55,39.37
10:34:56,77.61
10:34:57,80.8
10:34:58,21.490000000000002
10:34:59,34.51
10:35:00,44.08
10:35:01,9.24
10:35:02,8.76
10:35:03,38.95
10:35:04,77.92
10:35:05,15.43
10:35:06,72.53
10:35:07,94.97
10:35:08,41.84
10:35:09,90.71000000000001
10:35:10,65.33
10:35:11,61.86
10:35:12,22.71
10:35:13,29.650000000000002
10:35:14,96.38
10:35:15,0.32
10:35:16,36.38
10:35:17,43.9
10:35:18,97.08
10:35:19,77.83
10:35:20,66.91
10:35:21,22.31
10:35:22,46.660000000000004
10:35:23,46.13
10:35:24,90.13
10:35:26,88.08
10:35:27,6.33
10:35:28,40.82
10:35:29,31.63
10:35:30,2.99
10:35:31,13.56
10:35:32,52.61
10:35:33,9.38
10:35:34,20.37
10:35:35,10.3
10:35:36,73.32000000000001
10:35:37,79.9
10:35:38,32.49
10:35:39,75.11
10:35:40,36.61
10:35:41,44.19
10:35:42,1.93
10:35:43,87.86
10:35:44,60.910000000000004
10:35:45,7.88
10:35:46,33.44
10:35:47,5.68
10:35:48,13.73
10:35:49,30.61
10:35:50,91.16
10:35:51,62.67
10:35:52,73.16
10:35:53,43.15
10:35:54,84.3
10:35:55,32.57
10:35:56,49.11
10:35:57,22.84
10:35:58,3.0
10:35:59,57.6
10:36:00,29.400000000000002
10:36:01,79.5
10:36:02,22.32
10:36:03,51.86
10:36:04,83.49
10:36:05,95.51
10:36:06,81.32000000000001
10:36:07,17.97
10:36:08,73.77
10:36:09,96.2
10:36:10,53.97
10:36:11,16.37
10:36:12,43.06
10:36:13,50.02
10:36:14,12.18
10:36:15,86.07000000000001
10:36:16,3.3000000000000003
10:36:17,30.43
10:36:18,67.74
10:36:19,80.02
10:36:20,49.93
10:36:21,98.31
10:36:22,46.08
10:36:23,44.18
